date;name;isin;invested_captial;equity;cash
2017-03-25;umbrella;DE000LS9AVX3; 2522196.13 ;0.97;0.03
2017-03-25;etf-werte-des-icax;DE000LS9AJV2; 507628.45 ;0.82;0.18
2017-03-25;boerse-online-silicon-valley;DE000LS9HRZ1; 497387.74 ;0.99;0.01
2017-03-25;augmented-und-virtual-reality;DE000LS9EEQ5; 473007.02 ;1.0;-0.0
2017-03-25;nolimits;DE000LS9BFD6; 318055.26 ;0.97;0.03
2017-03-25;succestecbrands;DE000LS9CWS7; 274550.73 ;0.95;0.05
2017-03-25;top-10-goldminen;DE000LS9GTM7; 218731.20 ;0.98;0.02
2017-03-25;futecus;DE000LS9AUL0; 204922.58 ;0.79;0.21
2017-03-25;dogs-of-the-dow-low-five;DE000LS9CEP1; 203974.86 ;1.0;0.0
2017-03-25;rogo-us-value;DE000LS9CFM5; 189676.05 ;1.0;-0.01
2017-03-25;glob-selektion-nach-levermann;DE000LS9BJL1; 145718.30 ;1.0;0.0
2017-03-25;trendfolge-aktien-lehne;DE000LS9FDY8; 126203.80 ;0.97;0.03
2017-03-25;sicherheit-und-ruestung;DE000LS9KBZ9; 90253.15 ;0.95;0.05
2017-03-25;ant1-frag-hps-worldwide;DE000LS9BEH0; 86565.06 ;0.38;0.62
2017-03-25;usa-top-10;DE000LS9BEG2; 84137.74 ;1.01;-0.01
2017-03-25;high-tech-stock-picking;DE000LS9J0L2; 55294.78 ;0.64;0.36
2017-03-25;top-innovation-tech-star;DE000LS9JEL5; 50775.54 ;1.0;-0.01
2017-03-25;wall-street-trends;DE000LS9J8J9; 46855.03 ;1.0;0.0
2017-03-25;markowitz-chancen;DE000LS9GNG2; 45791.40 ;1.0;0.0
2017-03-25;die-top-aktien-aus-amerika;DE000LS9FFL0; 45709.48 ;1.0;-0.0
2017-03-25;valuesurfing;DE000LS9JR96; 42566.05 ;0.92;0.08
2017-03-25;online-marketing-rockstars;DE000LS9DJH5; 41906.43 ;0.99;0.01
2017-03-25;global-champions;DE000LS9JLH8; 41591.40 ;1.0;0.0
2017-03-25;daswir;DE000LS9KUM7; 40228.88 ;1.0;0.0
2017-03-25;value-investing;DE000LS9CNE6; 36202.82 ;1.0;0.0
2017-03-25;langfrist-investor;DE000LS9HKV5; 35285.49 ;0.79;0.21
2017-03-25;top-us-upside-star;DE000LS9JDZ7; 35231.09 ;1.0;-0.01
2017-03-25;aesthetische-medizin;DE000LS9EFK5; 34931.60 ;0.64;0.36
2017-03-25;gold-und-silber-majors;DE000LS9BMB6; 34826.59 ;0.97;0.03
2017-03-25;mpinvest-globale-trends;DE000LS9BDD1; 32769.15 ;0.95;0.05
2017-03-25;zukunftstrends;DE000LS9HGY7; 32756.25 ;0.91;0.09
2017-03-25;next-generation;DE000LS9BAU1; 28815.04 ;0.99;0.01
2017-03-25;werte-durch-aktienrueckkaeufe;DE000LS9BJC0; 28499.78 ;0.77;0.23
2017-03-25;value-positive-future;DE000LS9GJG0; 28027.09 ;0.84;0.16
2017-03-25;roboter-kuenstliche-intelligenz;DE000LS9KF55; 26351.43 ;1.0;-0.01
2017-03-25;entspannt-investieren;DE000LS9DKX0; 21947.01 ;0.14;0.86
2017-03-25;zukunft-technologie-automobil;DE000LS9J024; 21453.26 ;1.03;-0.03
2017-03-25;worldcap-global-opportunities;DE000LS9GDM1; 20806.80 ;0.33;0.67
2017-03-25;small-dogs-usa-5;DE000LS9AJS8; 20773.39 ;1.0;-0.0
2017-03-25;fang-und-co;DE000LS9KNM2; 18145.66 ;0.92;0.08
2017-03-25;ruestungskonzerne-weltweit;DE000LS9EZY4; 17173.63 ;1.03;-0.03
2017-03-25;new-world;DE000LS9GQK7; 16891.22 ;1.0;0.0
2017-03-25;ueberverkaufte-aktienwerte;DE000LS9J826; 16110.26 ;1.0;0.0
2017-03-25;divident-value;DE000LS9ECH8; 15462.50 ;1.03;-0.04
2017-03-25;selected-life-sciences;DE000LS9ADD3; 15443.65 ;0.39;0.61
2017-03-25;amb-global-value-pearls;DE000LS9HGV3; 14631.82 ;0.57;0.43
2017-03-25;geduld-ist-die-pforte-der-freude;DE000LS9EGU2; 14232.04 ;0.76;0.24
2017-03-25;gs-turnover-strategy;DE000LS9DYP7; 13275.52 ;0.98;0.02
2017-03-25;quantitativ-usa-l-m-caps;DE000LS9CKP8; 12945.28 ;1.0;0.0
2017-03-25;greenblatt-value-investing;DE000LS9DCT5; 12591.81 ;1.01;-0.01
2017-03-25;hohe-dividenden-pipeline-usa-mlp;DE000LS9KB00; 11145.74 ;1.01;-0.01
2017-03-25;usdivgrowth;DE000LS9AZK1; 11076.54 ;0.99;0.01
