date;name;isin;invested_capital;equity;cash
25.03.2017;qualitaet-angelehnt-an-susan-levermann;DE000LS9AJF5; 20756900.81 ;0.99;0.01
25.03.2017;boerse-online-nebenwerte;DE000LS9BLQ6; 9721016.61 ;0.84;0.16
25.03.2017;dach-trading-invest;DE000LS9AVD5; 9640008.19 ;0.29;0.71
25.03.2017;deutscher-mittelstand;DE000LS9CTA1; 5378312.18 ;0.97;0.03
25.03.2017;carpe-diem-aktientrading;DE000LS9HFZ6; 4883359.87 ;0.37;0.63
25.03.2017;abacus;DE000LS9HZ72; 2669285.52 ;0.43;0.57
25.03.2017;special-situations;DE000LS9AKJ5; 1807783.91 ;0.93;0.07
25.03.2017;chancen-suchen-und-finden;DE000LS9BNT6; 1692223.50 ;1.0;0.0
25.03.2017;aschenputtell;DE000LS9EUF4; 1405123.55 ;0.95;0.04
25.03.2017;uro-am-sonntag-var-strategie;DE000LS9HDH9; 955614.00 ;0.99;0.01
25.03.2017;quality-fundamental-selection;DE000LS9JLP1; 856189.74 ;0.7;0.3
25.03.2017;fundamental-unterbewertete-aktien;DE000LS9ADM4; 694384.60 ;0.81;0.18
25.03.2017;aktien-yeah;DE000LS9BUM6; 658446.87 ;0.86;0.14
25.03.2017;investmentfox-nebenwerte;DE000LS9ELB2; 489909.30 ;0.93;0.07
25.03.2017;trendfolge-strategie-2014;DE000LS9DMX6; 459207.41 ;0.94;0.06
25.03.2017;die-dividendenstrategie;DE000LS9APT3; 446988.17 ;0.94;0.06
25.03.2017;nebenwerte-deutschland;DE000LS9CSY3; 433129.75 ;0.93;0.07
25.03.2017;value-momentum-plus;DE000LS9BAK2; 420469.31 ;1.0;0.0
25.03.2017;goldesel-investing;DE000LS9KR85; 411446.69 ;0.88;0.12
25.03.2017;wachstum-mit-nur-einer-aktie;DE000LS9BDT7; 356767.26 ;0.98;0.01
25.03.2017;selektion-nach-leverm-offensiv;DE000LS9KHW3; 356706.23 ;1.0;0.0
25.03.2017;momentumstrategie-deutschland;DE000LS9BFX4; 336076.13 ;1.0;-0.0
25.03.2017;mawero-effizienz1;DE000LS9BAA3; 225695.03 ;1.0;0.0
25.03.2017;solide-unternehmen;DE000LS9CWG2; 221039.55 ;0.02;0.98
25.03.2017;immobilienfirmen;DE000LS9DKA8; 218484.16 ;0.95;0.05
