date;name;isin;invested_captial;equity;cash
2017-03-25;qualitaet-angelehnt-an-susan-levermann;DE000LS9AJF5; 20756900.81 ;0.99;0.01
2017-03-25;boerse-online-nebenwerte;DE000LS9BLQ6; 9721016.61 ;0.84;0.16
2017-03-25;dach-trading-invest;DE000LS9AVD5; 9640008.19 ;0.29;0.71
2017-03-25;deutscher-mittelstand;DE000LS9CTA1; 5378312.18 ;0.97;0.03
2017-03-25;carpe-diem-aktientrading;DE000LS9HFZ6; 4883359.87 ;0.37;0.63
2017-03-25;rohstoffwerte;DE000LS9JK44; 3246419.69 ;0.82;0.18
2017-03-25;abacus;DE000LS9HZ72; 2669285.52 ;0.43;0.57
2017-03-25;umbrella;DE000LS9AVX3; 2522196.13 ;0.97;0.03
2017-03-25;special-situations;DE000LS9AKJ5; 1807783.91 ;0.93;0.07
2017-03-25;chancen-suchen-und-finden;DE000LS9BNT6; 1692223.50 ;1.0;0.0
2017-03-25;aschenputtell;DE000LS9EUF4; 1405123.55 ;0.95;0.04
2017-03-25;volatrader;DE000LS9CPZ6; 1237074.06 ;0.0;1.0
2017-03-25;uro-am-sonntag-var-strategie;DE000LS9HDH9; 955614.00 ;0.99;0.01
2017-03-25;ausis-gold-silber-minen;DE000LS9HUY8; 935809.84 ;0.98;0.02
2017-03-25;bonusertrag;DE000LS9H4J0; 885211.66 ;0.0;0.23
2017-03-25;financialist;DE000LS9CUY9; 878375.71 ;1.0;0.0
2017-03-25;quality-fundamental-selection;DE000LS9JLP1; 856189.74 ;0.7;0.3
2017-03-25;unterbewertete-marken-aktien-wachstum;DE000LS9AGH7; 713676.24 ;0.84;0.16
2017-03-25;fundamental-unterbewertete-aktien;DE000LS9ADM4; 694384.60 ;0.81;0.18
2017-03-25;top-global-brands;DE000LS9CHS8; 659888.02 ;1.0;0.0
2017-03-25;aktien-yeah;DE000LS9BUM6; 658446.87 ;0.86;0.14
2017-03-25;pr1me-vv-folio-global;DE000LS9GMW1; 593089.64 ;1.0;0.0
2017-03-25;global-best-equity-t-p-2;DE000LS9JGA3; 522696.57 ;0.97;0.03
2017-03-25;etf-werte-des-icax;DE000LS9AJV2; 507628.45 ;0.82;0.18
2017-03-25;boerse-online-silicon-valley;DE000LS9HRZ1; 497387.74 ;0.99;0.01
2017-03-25;investmentfox-nebenwerte;DE000LS9ELB2; 489909.30 ;0.93;0.07
2017-03-25;augmented-und-virtual-reality;DE000LS9EEQ5; 473007.02 ;1.0;-0.0
2017-03-25;trendfolge-strategie-2014;DE000LS9DMX6; 459207.41 ;0.94;0.06
2017-03-25;die-dividendenstrategie;DE000LS9APT3; 446988.17 ;0.94;0.06
2017-03-25;stroh-zu-gold;DE000LS9AXQ3; 433773.24 ;1.0;0.0
2017-03-25;nebenwerte-deutschland;DE000LS9CSY3; 433129.75 ;0.93;0.07
2017-03-25;dividendensteigerung;DE000LS9AFK3; 427722.51 ;0.8;0.2
2017-03-25;value-momentum-plus;DE000LS9BAK2; 420469.31 ;1.0;0.0
2017-03-25;goldesel-investing;DE000LS9KR85; 411446.69 ;0.88;0.12
2017-03-25;underdogs-aktienwerte-weltweit;DE000LS9H622; 379162.02 ;1.0;0.0
2017-03-25;top-branchen-outperf-dach-star;DE000LS9HU28; 369067.27 ;0.0;0.0
2017-03-25;wachstum-mit-nur-einer-aktie;DE000LS9BDT7; 356767.26 ;0.98;0.01
2017-03-25;selektion-nach-leverm-offensiv;DE000LS9KHW3; 356706.23 ;1.0;0.0
2017-03-25;europa-upside-dach-star;DE000LS9H0P5; 353531.92 ;0.0;0.01
2017-03-25;momentumstrategie-deutschland;DE000LS9BFX4; 336076.13 ;1.0;-0.0
2017-03-25;kurschancen-bei-turnaround-kandidaten;DE000LS9AGM7; 334165.55 ;0.75;0.25
2017-03-25;top-germany-outperf-dach-star;DE000LS9HQE8; 326226.10 ;0.0;0.0
2017-03-25;nolimits;DE000LS9BFD6; 318055.26 ;0.97;0.03
2017-03-25;robotik;DE000LS9EEY9; 277597.32 ;1.0;0.0
2017-03-25;succestecbrands;DE000LS9CWS7; 274550.73 ;0.95;0.05
2017-03-25;shorttimetrading;DE000LS9DVJ6; 246500.58 ;0.96;0.04
2017-03-25;aktienrueckkaeufe-und-dividendenerhoehungen;DE000LS9AVB9; 239095.75 ;0.92;0.08
2017-03-25;tenbagger-strategie;DE000LS9JL19; 225750.23 ;0.0;0.08
2017-03-25;mawero-effizienz1;DE000LS9BAA3; 225695.03 ;1.0;0.0
2017-03-25;solide-unternehmen;DE000LS9CWG2; 221039.55 ;0.02;0.98
2017-03-25;top-10-goldminen;DE000LS9GTM7; 218731.20 ;0.98;0.02
2017-03-25;immobilienfirmen;DE000LS9DKA8; 218484.16 ;0.95;0.05
2017-03-25;bonuszertifikate-werte-offensiv;DE000LS9JM59; 215346.43 ;0.0;0.26
2017-03-25;discounter-global-plus;DE000LS9J891; 208679.48 ;0.0;0.07
2017-03-25;passiv-momentum-12m;DE000LS9FGK0; 208560.78 ;1.0;0.0
2017-03-25;futecus;DE000LS9AUL0; 204922.58 ;0.79;0.21
2017-03-25;dogs-of-the-dow-low-five;DE000LS9CEP1; 203974.86 ;1.0;0.0
2017-03-25;trend-select-prime;DE000LS9GCT8; 203088.92 ;0.99;0.01
2017-03-25;regel-nr-1-kein-geld-verlieren;DE000LS9DLQ2; 202905.07 ;0.99;0.01
2017-03-25;deutsche-immobilienaktien;DE000LS9BSM0; 202336.76 ;0.91;0.09
2017-03-25;top-pics-of-the-year;DE000LS9HYC6; 199630.33 ;1.0;-0.0
2017-03-25;rogo-us-value;DE000LS9CFM5; 189676.05 ;1.0;-0.01
2017-03-25;pferde-in-form;DE000LS9KJ85; 185127.16 ;0.88;0.12
2017-03-25;tenbagger-sei-aufmerksam;DE000LS9CNZ1; 181808.18 ;0.92;0.08
2017-03-25;europa-finest-selection;DE000LS9CPX1; 180669.52 ;0.99;0.01
2017-03-25;batteriespeicher;DE000LS9EFG3; 179549.52 ;0.84;0.16
2017-03-25;cme-electromobility-smart-energy;DE000LS9J8A8; 173717.20 ;0.75;0.25
2017-03-25;mawero-effizienz2;DE000LS9FLR5; 172310.95 ;1.0;0.0
2017-03-25;precious-metals-silver;DE000LS9H7L9; 164634.74 ;0.96;0.04
2017-03-25;trendstaerke-rangliste-deutschl;DE000LS9DVV1; 161423.03 ;0.52;0.48
2017-03-25;small-caps-on-stereoids;DE000LS9AET7; 150319.73 ;0.36;0.64
2017-03-25;qi-minimum-volatility-germany;DE000LS9J0X7; 149856.74 ;1.0;0.0
2017-03-25;glob-selektion-nach-levermann;DE000LS9BJL1; 145718.30 ;1.0;0.0
2017-03-25;germanallcap-fokus-nebenwerte;DE000LS9HGA7; 140532.20 ;0.89;0.12
2017-03-25;deutschl-analysten-empfehlungen;DE000LS9FKS5; 139522.04 ;1.0;0.0
2017-03-25;bonus-zertifikat-werte;DE000LS9HYN3; 137953.02 ;0.0;0.27
2017-03-25;small-caps;DE000LS9AQL8; 134209.52 ;0.7;0.3
2017-03-25;quantenstein-bachelor;DE000LS9JZP1; 133389.47 ;0.99;0.01
2017-03-25;stock-picking-nach-peter-lynch;DE000LS9CVN0; 129299.53 ;0.66;0.34
2017-03-25;autonomes-fahren;DE000LS9EFD0; 129178.13 ;0.95;0.05
2017-03-25;trendfolge-aktien-lehne;DE000LS9FDY8; 126203.80 ;0.97;0.03
2017-03-25;cashbubblecrash;DE000LS9KJE7; 125869.06 ;0.99;0.01
2017-03-25;wachstum-mit-substanz;DE000LS9CPJ0; 124170.86 ;0.65;0.35
2017-03-25;blue-chips-die-bessere-haelfte;DE000LS9DJE2; 121142.68 ;0.78;0.22
2017-03-25;reversal-chancen;DE000LS9BRH2; 115871.07 ;0.11;0.89
2017-03-25;transcelerate;DE000LS9AXY7; 115626.47 ;0.36;0.64
2017-03-25;westfalian-alpha;DE000LS9ARA9; 112354.20 ;1.0;-0.0
